Speed_s
2.295
1.891
0.629
1.92
0.664
1.049
1.264
1.005
0.804
""
2.198
1.127
0.668
1.081
0.606
0.588
2.212
1.138
0.874
1.068
1.296
1.138
0.626
0.624
0.529
0.825
0.621
1.0
0.68
0.626
