time(s),delay(ms)
3.707823,47.038
3.707845,47.032
3.709361,46.079
3.709388,46.067
3.7114789999999998,45.68
3.7115210000000003,45.695
3.7145140000000003,46.176
3.714549,46.185
3.717466,46.657
3.717489,46.634
3.7199169999999997,46.603
3.719944,46.585
3.719954,46.584
3.7229270000000003,47.126
3.722954,47.116
3.7243380000000004,46.084
3.7243649999999997,46.084
3.726037,45.856
3.726064,45.852
3.7284699999999997,46.476
3.728489,46.462
3.730171,46.353
3.7301979999999997,46.347
3.7312890000000003,45.652
3.7313159999999996,45.652
3.733753,46.324
3.73379,46.334
3.735268,46.003
3.735291,45.996
3.737629,46.72
3.737663,46.713
3.7387930000000003,46.225
3.73882,46.226
3.740287,46.08
3.740317,46.068
3.742617,46.771
3.742645,46.772
3.743805,46.384
3.743831,46.393
3.745243,46.177
3.745265,46.173
3.7463490000000004,45.639
3.7463670000000002,45.631
3.748702,46.464
3.7487310000000003,46.457
3.750051,46.189
3.7500709999999997,46.182
3.751174,45.767
3.751202,45.764
3.7534810000000003,46.478
3.7535100000000003,46.481
3.7546019999999998,46.0
3.754632,46.003
3.756862,46.726
3.75689,46.728
3.757998,46.347
3.7580259999999996,46.338
3.759224,46.027
3.759266,46.039
3.760372,45.731
3.760402,45.731
3.762753,46.549
3.762791,46.56
3.7639110000000002,46.323
3.76395,46.334
3.765114,46.004
3.765142,46.006
3.766195,45.647
3.7662220000000004,45.647
3.768416,46.424
3.7684450000000003,46.426
3.769458,46.069
3.7694870000000003,46.073
3.7705189999999997,45.76
3.771539,46.76
3.7725340000000003,46.417
3.772563,46.416
3.7735309999999997,45.97
3.773559,45.973
3.775499,46.611
3.7755259999999997,46.612
3.776332,46.152
3.776354,46.146
3.777402,45.954
3.777429,45.955
3.778235,45.476
3.778263,45.477
3.78017,46.192
3.780199,46.189
3.781252,45.988
3.78128,45.998
3.781316,46.024
3.781342,46.037
3.782834,46.335
3.782862,46.344
3.7837739999999997,46.036
3.783802,46.044
3.7855790000000002,46.567
3.785607,46.57
3.786373,46.126
3.7863919999999998,46.114
3.78728,45.797
3.787301,45.789
3.7882260000000003,45.5
3.788255,45.484
3.79023,46.241
3.7902579999999997,46.242
3.791654,46.466
3.791676,46.468
