PRR_N2
88.0
88.0
92.0
96.0
""
84.0
88.0
96.0
96.0
92.0
84.0
96.0
88.0
92.0
88.0
88.0
96.0
92.0
92.0
84.0
96.0
88.0
76.0
96.0
96.0
