datetime,cc,run,runtime,throughput_test,throughput_value,delay_test,delay_value
2019-08-21T17:06:02:+0200,bbr,1,30,True,105.20656206451613,True,90.736
2019-08-21T17:06:02:+0200,bbr,2,30,True,105.2054369032258,True,85.171
2019-08-21T17:06:02:+0200,bbr,3,30,True,106.63614348387095,True,85.398
2019-08-21T17:06:02:+0200,bbr,4,30,True,105.07232825806449,True,83.759
2019-08-21T17:06:02:+0200,bbr,5,30,True,105.0623091612903,True,85.24600000000001
2019-08-21T17:06:02:+0200,bbr,6,30,True,105.16390812903227,True,85.60600000000001
2019-08-21T17:06:02:+0200,bbr,7,30,True,106.34465548387097,True,87.084
2019-08-21T17:06:02:+0200,bbr,8,30,True,106.47759174193548,True,86.03399999999999
2019-08-21T17:06:02:+0200,bbr,9,30,True,105.2475829677419,True,84.734
2019-08-21T17:06:02:+0200,bbr,10,30,True,105.41598038709674,True,84.169
2019-08-20T15:34:33:+0200,bbr,1,30,True,105.33496464516126,True,84.741
2019-08-20T15:34:33:+0200,bbr,2,30,True,105.96730941935483,True,85.713
2019-08-20T15:34:33:+0200,bbr,3,30,True,105.06241858064516,False,
2019-08-20T15:34:33:+0200,bbr,4,30,True,105.036464516129,True,84.25399999999999
2019-08-20T15:34:33:+0200,bbr,5,30,True,105.0640784516129,True,86.512
2019-08-20T15:34:33:+0200,bbr,6,30,True,106.48085470967739,False,
2019-08-20T15:34:33:+0200,bbr,7,30,True,106.66194993548385,True,85.478
2019-08-20T15:34:33:+0200,bbr,8,30,True,106.46539251612901,True,85.068
2019-08-20T15:34:33:+0200,bbr,9,30,True,105.20867612903227,True,85.919
2019-08-20T15:34:33:+0200,bbr,10,30,True,105.18668077419353,True,85.64200000000001
2019-08-21T12:14:13:+0200,bbr,1,30,True,104.92284799999997,False,
2019-08-21T12:14:13:+0200,bbr,2,30,True,106.68988283870966,True,84.399
2019-08-21T12:14:13:+0200,bbr,3,30,True,105.31526709677419,True,84.90799999999999
2019-08-21T12:14:13:+0200,bbr,4,30,True,105.08674374193549,True,85.13
